budget,genres,original_language,release_date,revenue,runtime,vote_average
0,Documentary,en,20/03/2002,0,86,0
0,Drama,en,25/05/2010,0,110,7.5
0,Crime,en,12/10/2013,0,6,8
0,Comedy,en,20/06/2012,0,18,10
0,Comedy,en,22/03/2012,0,84,6.9
0,Comedy,en,27/04/2000,0,115,6
0,Drama,en,09/10/2012,0,27,0
11000000,Thriller,en,12/01/2000,59827328,98,6.5
0,Drama,en,12/01/2000,0,90,4
7000000,Documentary,en,14/01/2000,0,95,6.5
90000000,Comedy,en,14/01/2000,14828081,91,4.9
9000000,Drama,en,21/01/2000,0,91,4.9
0,Comedy,en,28/02/2000,0,0,0
0,Comedy,en,21/01/2000,0,0,5.5
36000000,Drama,de,28/01/2000,3003296,95,4.6
40000000,Crime,en,03/02/2000,161834276,116,5.7
10000000,Action,en,04/02/2000,1631839,101,5.4
0,Documentary,en,04/02/2000,0,99,0
40000000,Comedy,en,11/02/2000,144056873,119,6.3
0,Drama,en,11/02/2000,0,89,4.8
30000000,Comedy,en,11/02/2000,45554533,77,6.3
200000,Comedy,en,11/02/2000,1160268,93,4.5
26000000,Documentary,en,18/02/2000,28780255,118,6.5
40000000,Crime,en,16/02/2000,36037909,94,5
23000000,Comedy,en,18/02/2000,53187659,108,6.7
41300000,Thriller,en,18/02/2000,106371651,98,6.3
0,War,en,17/03/2000,0,75,7.1
42000000,Music,en,25/02/2000,32168970,124,5.3
35000000,Thriller,en,22/02/2000,0,111,6.9
0,Comedy,en,10/03/2000,0,101,6.1
6000000,Comedy,en,01/03/2000,9000000,82,5.9
20000000,Action,en,22/09/2000,0,96,5.9
16000000,Action,en,03/03/2000,15427192,96,5.4
25000000,Comedy,en,03/03/2000,24362772,108,4.3
60000000,Comedy,en,03/03/2000,0,105,5.4
0,Drama,en,27/12/2000,0,93,4.5
90000000,Comedy,en,10/03/2000,60874615,114,5.7
0,Horror,en,17/03/2000,0,0,0
52000000,Drama,en,17/03/2000,256271286,131,7.1
23000000,Drama,en,16/03/2000,53302314,98,6.4
25000000,Comedy,en,20/03/2000,91036760,115,6
0,Action,en,23/03/2000,0,96,5.4
15000000,Romance,en,31/03/2000,9902115,94,5.1
8500000,Drama,en,23/03/2000,327418,105,6.5
30000000,Comedy,en,17/03/2000,47126295,113,7
95000000,Comedy,en,31/03/2000,76432727,89,7
15000000,Adventure,en,31/03/2000,35007180,106,5.7
31000000,Drama,en,28/04/2000,68106245,118,7
24000000,Crime,en,07/04/2000,12372410,107,4.7
24000000,Action,en,07/04/2000,36609995,115,6.1
60000000,Romance,en,07/04/2000,71000000,128,6
0,Action,en,21/01/2000,0,104,6.8
0,Drama,en,20/04/2000,369975,104,5.9
43000000,Drama,en,06/04/2000,0,103,6
7000000,Comedy,en,13/04/2000,34266564,102,7.3
30000000,Thriller,en,14/04/2000,37036004,127,5.9
0,Comedy,en,14/04/2000,0,89,5.5
0,Comedy,en,29/03/2000,0,108,7.3
0,Documentary,en,07/01/2000,0,105,5.8
14000000,Comedy,en,21/04/2000,5108820,90,5.6
20000000,Drama,en,21/04/2000,27728118,124,7.5
62000000,Action,en,20/04/2000,127666415,116,6.1
3000000,Drama,en,21/01/2000,0,98,4.4
10000000,Comedy,en,31/10/2000,0,102,4.9
83000000,Action,en,28/04/2000,59468275,90,4.4
15000000,Science Fiction,en,27/04/2000,33771174,120,6.9
7000000,Comedy,en,28/04/2000,3728888,90,6.8
0,Comedy,en,01/01/2000,0,95,6.1
0,Drama,en,28/04/2000,0,103,8
4000000,Drama,en,22/03/2000,0,97,5.9
103000000,Drama,en,01/05/2000,457640427,155,7.9
34000000,Action,en,05/05/2000,0,114,5.3
0,Romance,en,14/04/2000,0,115,6.2
44000000,Animation,en,10/05/2000,21400000,118,3
18000000,Action,en,12/05/2000,17200925,115,6.8
0,Comedy,en,12/05/2000,0,81,4.9
3000000,Action,en,01/09/2000,0,82,3.1
2000000,Comedy,en,12/05/2000,1568749,112,6
127500000,Action,en,19/05/2000,354248063,82,6.2
0,Animation,en,21/07/2000,0,98,5
16000000,Drama,en,19/05/2000,119754278,93,5.9
0,Comedy,en,19/05/2000,0,94,6.4
125000000,Comedy,en,24/05/2000,546388105,123,5.9
55000000,Adventure,en,26/05/2000,56932305,110,6.2
30000000,Comedy,en,31/05/2000,173959438,98,5.6
90000000,Adventure,en,09/06/2000,237202299,118,6.1
13000000,Documentary,en,31/03/2000,299792,93,5.4
0,Drama,en,28/06/2000,0,116,4
0,Action,en,02/06/2000,0,88,5.2
16000000,Drama,en,16/06/2000,20627372,94,5.4
46000000,Comedy,en,15/06/2000,107196498,99,5.5
75000000,Action,en,16/06/2000,36754634,94,6.3
45000000,Action,en,21/06/2000,224834564,84,6.5
51000000,Animation,en,22/06/2000,149270999,116,6.1
110000000,Comedy,en,28/06/2000,215294342,165,6.8
76000000,Drama,en,30/06/2000,35134820,88,3.9
120000000,Action,en,15/03/2000,325756637,130,6.2
15000000,Drama,en,14/05/2000,0,130,6.5
65000000,Drama,en,07/07/2000,69700000,104,6
19000000,Fantasy,en,07/07/2000,278019771,88,6
0,Drama,en,08/06/2000,0,86,5.6
75000000,Western,en,13/07/2000,296339527,104,6.8
0,Adventure,en,21/01/2000,0,96,5.7
15000000,Drama,en,19/07/2000,5217498,105,4.7
100000000,Thriller,en,21/07/2000,155464351,130,6.3
0,Comedy,en,26/07/2000,0,85,4.8
84000000,Animation,en,27/07/2000,123307945,106,4.7
65000000,Drama,en,11/08/2000,0,103,5.7
45000000,Drama,en,30/07/2000,113916474,100,5.8
95000000,Comedy,en,04/08/2000,190213455,112,5.6
65000000,Action,en,31/07/2000,128884132,130,6.3
0,Comedy,en,04/04/2000,0,92,4.6
1500000,Comedy,en,06/08/2000,0,95,6
10000000,Comedy,en,24/01/2000,26330482,93,6.3
0,Crime,en,01/07/2000,0,96,8.7
0,Comedy,en,04/08/2000,0,87,5.9
0,Comedy,en,01/06/2000,0,91,1
40000000,Drama,en,11/08/2000,0,107,4.9
10000000,Drama,en,17/05/2000,0,87,6.2
0,Thriller,en,25/01/2000,0,79,7
0,Documentary,en,17/05/2000,0,90,5.5
0,Comedy,en,07/08/2000,0,118,6.2
0,Comedy,en,28/01/2000,151559,105,5.4
33000000,Comedy,en,17/08/2000,104155843,107,6
0,Adventure,en,18/08/2000,0,115,6.5
0,Comedy,en,18/08/2000,0,90,6
40000000,Horror,en,23/08/2000,30199105,117,5.6
0,Crime,en,26/01/2000,0,112,0
0,Music,en,25/08/2000,0,82,6
28000000,Documentary,en,25/08/2000,90449929,98,5.8
0,Comedy,en,09/06/2000,0,119,0
0,Drama,en,21/08/2000,0,88,6.4
0,Action,en,24/01/2000,0,82,5.7
0,Comedy,en,18/08/2000,0,107,6.2
0,Drama,en,06/06/2000,0,100,6.5
25000000,Comedy,en,01/09/2000,15843608,87,4.4
0,Action,en,08/09/2000,0,86,7.5
0,Action,en,06/09/2000,0,86,5
0,Action,de,03/02/2000,0,103,6.1
24000000,Horror,en,08/09/2000,0,108,5.9
33000000,Drama,en,08/09/2000,0,96,5
8500000,Mystery,en,08/09/2000,19125401,119,6.4
60000000,Action,en,15/09/2000,47383689,122,7.4
35000000,Drama,en,14/09/2000,0,119,6.1
0,Action,en,05/05/2000,0,95,4.3
0,Crime,en,01/01/2000,26394,100,6.1
0,Drama,en,09/09/2000,0,112,5.5
0,Drama,en,24/01/2000,0,103,5.2
0,Drama,en,22/09/2000,0,82,5.5
25000000,Action,en,24/09/2000,260562,110,6.4
0,Mystery,en,22/09/2000,0,109,5.2
14000000,Action,en,19/09/2000,38574362,97,4.4
8000000,Horror,en,22/09/2000,0,92,5.5
12800000,Comedy,en,17/05/2000,40031879,140,7.7
0,Drama,en,19/09/2000,0,90,6.7
0,Comedy,en,10/09/2000,0,112,5.8
1000000,Documentary,en,01/02/2000,1744858,94,6.3
0,Comedy,en,01/05/2000,0,110,6.4
30000000,Drama,en,29/09/2000,136706683,113,7.4
0,Comedy,en,06/10/2000,0,135,6.3
0,Comedy,en,05/10/2000,0,89,5.7
5500000,Comedy,en,17/03/2000,0,82,6.2
63600000,Fantasy,en,06/10/2000,19412993,102,4.8
55000000,Crime,en,06/10/2000,330444045,108,6.6
4500000,Comedy,en,27/10/2000,7390108,102,7.9
10000000,Crime,en,22/09/2000,0,101,6.7
0,Drama,en,21/01/2000,0,104,7
9000000,Drama,en,13/10/2000,0,126,6.7
12000000,Drama,en,13/09/2000,0,121,4.6
24000000,Drama,en,13/10/2000,13700000,84,5.7
0,Comedy,en,13/10/2000,0,97,4.5
5000000,Crime,en,18/05/2000,110000000,110,7.4
48000000,Drama,en,19/10/2000,90383208,93,5.6
40000000,Fantasy,en,12/10/2000,55707411,122,7
0,Action,en,27/10/2000,0,90,4.3
22000000,Mystery,en,27/10/2000,13555988,95,6
65000000,Family,en,27/10/2000,0,105,4.9
0,Action,en,13/10/2000,0,100,6.4
92000000,Comedy,en,02/11/2000,264105545,98,5.6
80000000,Action,en,02/11/2000,39459427,126,6.4
85000000,Fantasy,en,10/11/2000,0,90,5.2
32000000,Comedy,en,13/09/2000,48814909,129,7
80000000,Drama,en,10/11/2000,33463969,106,5.4
0,Thriller,en,20/01/2000,0,110,6.4
0,Comedy,en,17/11/2000,0,111,6.8
82000000,Adventure,en,17/11/2000,96085477,123,5.7
35000000,Science Fiction,en,15/11/2000,36779296,106,5.5
123000000,Drama,en,17/11/2000,345141403,104,6.2
30,Documentary,it,14/09/2000,103,78,6
85000000,Adventure,en,07/10/2000,183611771,100,5.1
0,Comedy,it,27/10/2000,0,109,6.9
13500000,Drama,en,22/11/2000,7060876,124,6.8
75000000,Drama,en,13/11/2000,248118121,106,6.9
0,Science Fiction,en,16/11/2000,0,79,6.7
17000000,Action,zh,01/10/2000,213525736,120,7.2
35000000,Adventure,en,08/12/2000,15185241,107,3.9
65000000,Action,en,08/12/2000,0,135,6.1
75000000,Action,en,08/12/2000,215663859,124,5.9
10000000,Comedy,en,01/09/2000,83557872,103,7.7
0,Comedy,en,24/03/2000,0,89,5.3
25000000,Comedy,en,14/12/2000,152500343,121,6.8
13000000,Comedy,en,15/12/2000,73180723,83,5.3
100000000,Comedy,en,09/12/2000,169327687,78,7.2
6,Adventure,en,06/09/2000,8,122,6.6
70000000,Drama,en,15/12/2000,374111707,127,6.1
43000000,Comedy,en,21/12/2000,80049764,136,7
10000000,Drama,en,22/12/2000,12008642,111,6.4
0,Horror,en,03/09/2000,8524534,134,6.6
90000000,Drama,en,22/12/2000,429632142,143,7.5
60000000,Adventure,en,12/12/2000,0,125,6.5
10000000,Comedy,en,23/09/2000,5164404,140,6.4
45000000,Drama,en,14/12/2000,212000000,111,6.1
26000000,Action,en,30/08/2000,71868327,106,7.3
0,Action,en,01/03/2001,0,109,5.6
0,Drama,en,26/08/2000,0,102,6.5
28000000,Comedy,en,22/12/2000,33000337,99,4.6
57000000,Thriller,en,11/12/2000,0,117,5.8
0,Drama,en,22/12/2000,0,103,6
80000000,Comedy,en,24/12/2000,34566746,145,6.9
48000000,Drama,en,27/12/2000,207515725,147,6.9
0,Thriller,en,29/12/2000,0,120,5.6
8000000,Drama,en,15/05/2000,8279017,92,6.6
0,Action,en,15/04/2000,0,79,5.5
30000000,Horror,en,12/01/2001,18195610,108,5.8
0,Action,en,12/01/2001,0,88,5.5
13000000,Adventure,en,12/01/2001,91038276,112,6.3
1000000,Drama,en,01/12/2000,779137,88,6.8
35000000,Comedy,en,09/01/2001,29400000,123,6.6
0,Crime,en,07/12/2001,0,93,4.3
0,Drama,en,09/01/2001,0,91,0
11000000,Comedy,en,24/01/2001,13276953,81,5.7
35000000,Crime,en,26/01/2001,94728529,103,5.4
0,Comedy,en,04/04/2001,0,0,0
0,Action,sv,15/09/2000,0,142,6.4
0,Drama,en,23/02/2001,0,93,5.1
0,Drama,de,14/09/2000,0,102,5.4
0,Adventure,en,01/12/2000,0,88,7
0,Comedy,fr,15/08/2000,3818452,117,6.7
14000000,Action,en,02/02/2001,10424470,86,5.3
0,Comedy,en,30/10/2000,0,96,4
0,Drama,en,01/02/2001,0,96,5
0,Horror,cn,22/05/2000,12854953,98,7.8
8000000,Drama,en,09/02/2000,0,122,5.9
0,Drama,ca,18/05/2000,0,91,5.9
87000000,Drama,en,08/02/2001,351692268,131,6.4
22000000,Crime,en,09/02/2001,19351569,90,5.4
0,Comedy,en,09/02/2001,0,105,5
0,Drama,fr,01/03/2000,0,112,6.6
35000000,Drama,en,01/05/2000,0,125,6
0,History,en,16/02/2001,0,87,4.9
10000000,Fantasy,en,27/01/2001,44460850,83,6.6
40000000,Science Fiction,en,16/02/2001,65754228,119,6.4
0,Drama,en,09/03/2000,0,86,5.3
0,Comedy,en,13/10/2000,0,87,6
75000000,Comedy,en,23/02/2001,5409517,93,4.2
62000000,Adventure,en,23/02/2001,18720175,125,5.8
0,Action,en,01/01/2000,0,112,6.7
57000000,Romance,en,01/03/2001,147845033,123,5.8
0,Action,en,02/03/2001,0,94,4.8
0,Action,en,02/03/2001,0,90,3.2
0,Drama,en,19/01/2001,0,105,6
1900000,Drama,pt,17/08/2000,2070806,104,6.5
0,Comedy,en,20/01/2001,0,86,6.3
60000000,Action,en,01/03/2001,56359980,120,5.7
10000000,Action,en,08/03/2001,0,87,5.5
0,Comedy,en,01/03/2001,637769,91,5.8
0,Action,en,29/01/2000,0,94,2.5
0,Action,en,01/01/2000,0,95,0
0,Comedy,en,01/01/2000,0,115,5.2
68000000,Horror,en,13/03/2001,96976270,131,7.2
50000000,War,en,13/03/2001,79958599,101,5.3
0,Action,en,11/07/2000,0,101,6.6
9000000,History,en,11/10/2000,39723096,113,8.1
0,Mystery,en,23/03/2001,0,106,6.8
35000000,Comedy,en,23/03/2001,0,123,5.8
25000000,Crime,en,12/03/2001,0,95,4.8
23000000,Action,en,30/03/2001,0,97,6
35000000,Comedy,en,18/03/2001,147934180,88,5.5
